symbol,score,distance
Safest Routes,-339.90250000000003,2322.8700000000003
Safest Routes,-339.90250000000003,2322.8700000000003
Safest Routes,-339.90250000000003,2322.8700000000003
Safest Routes,-326.89673163265303,2568.951
Safest Routes,-326.89673163265303,2568.951
Safest Routes,-318.3289249999999,2382.9219999999996
Safest Routes,-316.981475,2157.439
Safest Routes,-316.981475,2157.439
Shortest Routes,-313.69786666666676,3574.312000000001
Shortest Routes,-313.69786666666676,3574.312000000001
Shortest Routes,-313.69786666666676,3574.312000000001
Shortest Routes,-313.69786666666676,3574.312000000001
Shortest Routes,-313.69786666666676,3574.312000000001
Shortest Routes,-313.69786666666676,3574.312000000001
Shortest Routes,-313.69786666666676,3574.312000000001
