,CTY_SCR_NAME,CTY_SCR_NBR_DY_01,CTY_SCR_NBR_DY_02,CTY_SCR_NBR_WK_01,CTY_SCR_NBR_WK_02,CTY_SCR_NBR_MO_01,CTY_SCR_NBR_MO_02,CTY_SCR_NBR_QT_01,CTY_SCR_NBR_QT_02,CTY_SCR_TGT_01,CTY_SCR_AVG_01,CTY_SCR_AVG_02,CTY_SCR_DEV_01,CTY_SCR_DEV_02,ETL_LOAD_DATE,ETL_LOAD_IS_ACTIVE_FLAG,CTY_SCR_OPEN_DATA_SOURCE,CTY_SCR_METRIC_TYPE,CTY_SCR_DAY,CTY_SCR_WEEK,CTY_SCR_MONTH,CTY_SCR_QUARTER,CTY_SCR_DAY_NAME
90,BPS ATTENDANCE,,,0.89431,,0.911546,,0.9090950000000001,,0.95,,,,,2017-02-10 00:00:00,N,,Target,,0.9413789,0.9595220999999999,0.9569421,Thursday
91,GRAFFITI ON-TIME %,0.875,8.0,0.9047619,42.0,0.9485981,214.0,0.8991935,744.0,0.8,,,,,2016-07-21 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,1.09375,1.1309524,1.1857476,1.1239919,Wednesday
92,MISSED TRASH ON-TIME %,0.9736841999999999,38.0,0.9671533000000001,274.0,0.9642482,951.0,0.9721634,3305.0,0.8,,,,,2016-07-21 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,1.2171053,1.2089416000000002,1.2053103,1.2152043,Wednesday
93,PARKS MAINTENANCE ON-TIME %,0.7857143,14.0,0.7931034,87.0,0.8609959,482.0,0.7850679,1326.0,0.8,,,,,2016-07-21 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,0.9821429,0.9913793,1.0762448999999998,0.9813349,Wednesday
94,POTHOLE ON-TIME %,0.5833333,12.0,0.7419355,30.0,0.7831325,166.0,0.8484848,693.0,0.8,,,,,2016-07-21 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,0.7291666,0.9274194,0.9789155999999999,1.060606,Wednesday
95,BPS ATTENDANCE,,,,,,,92.25,,95.0,,,,,2016-07-21 00:00:00,N,,Target,,,,0.9710525999999999,Wednesday
96,SIGN INSTALLATION ON-TIME %,0.75,12.0,0.7142857,49.0,0.7826086999999999,160.0,0.7985866,566.0,0.8,,,,,2016-07-21 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,0.9375,0.8928571,0.9782609,0.9982333000000001,Wednesday
97,SIGNAL REPAIR ON-TIME %,1.0,15.0,0.9180328000000001,61.0,0.9011858,253.0,0.8822144000000001,849.0,0.8,,,,,2016-07-21 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,1.25,1.147541,1.1264823,1.102768,Wednesday
98,STREETLIGHT ON-TIME %,0.9090908999999999,11.0,0.8979591999999998,49.0,0.6901961,255.0,0.6957708,733.0,0.8,,,,,2016-07-21 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,1.1363636000000001,1.122449,0.8627450999999999,0.8697135,Wednesday
99,ON-TIME PERMIT REVIEWS,0.47058820000000007,17.0,0.6835443,79.0,0.7705479000000001,292.0,0.8181818000000001,869.0,0.75,,,,,2016-07-21 00:00:00,N,https://data.cityofboston.gov/Permitting/Approved-Building-Permits/msk6-43c6,Target,0.6274509,0.9113924000000001,1.0273972,1.0909091,Wednesday
100,BFD RESPONSE TIME,0.8612245000000001,245.0,0.8213879000000001,1758.0,0.8352468000000001,6968.0,0.8390206,20338.0,0.9,,,,,2016-07-21 00:00:00,N,https://data.cityofboston.gov/Public-Safety/Crime-Incident-Reports/7cdf-6fgx,Target,0.9569161,0.9126531999999999,0.9280520000000001,0.9322450999999999,Wednesday
101,EMS RESPONSE TIME,7.366666700000001,89.0,6.241666700000001,630.0,6.1666667,2532.0,6.2333333,7613.0,6.0,,,,,2016-07-21 00:00:00,N,https://data.cityofboston.gov/Public-Safety/Crime-Incident-Reports/7cdf-6fgx,Target,0.8144796,0.9612816999999999,0.972973,0.9625669,Wednesday
102,TREE MAINTENANCE ON-TIME %,1.0,9.0,0.8811880999999999,101.0,0.9596603000000001,471.0,0.9527439,1312.0,0.8,,,,,2016-07-21 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,1.25,1.1014851,1.1995753999999998,1.1909299,Wednesday
103,BFD INCIDENTS,251.0,,259.5714285,,239.7333333,,230.75824169999999,,,215.0,219.021978,21.7683731,24.676114399999996,2016-07-21 00:00:00,N,https://data.cityofboston.gov/Public-Safety/Crime-Incident-Reports/7cdf-6fgx,Historical,0.9433003000000001,0.9121511,0.9876323,1.0560753999999999,Wednesday
104,EMS INCIDENTS,334.0,,342.14285710000007,,332.7666666,,333.4395604,,,321.4,315.9670329,21.544821,25.6564701,2016-07-21 00:00:00,N,https://data.cityofboston.gov/Public-Safety/Crime-Incident-Reports/7cdf-6fgx,Historical,1.0267809,1.0023439,1.0305865,1.0245440000000001,Wednesday
105,GRAFFITI ON-TIME %,0.6363635999999999,10.0,0.8444444,45.0,0.9342722999999999,213.0,0.8980978000000001,736.0,0.8,,,,,2016-07-22 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,0.7954545,1.0555555,1.1678403999999998,1.1226223,Thursday
106,MISSED TRASH ON-TIME %,1.0,27.0,0.9745763000000001,236.0,0.9633620999999999,928.0,0.9721296999999999,3300.0,0.8,,,,,2016-07-22 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,1.25,1.2182203999999999,1.2042026000000001,1.2151621000000001,Thursday
107,PARKS MAINTENANCE ON-TIME %,0.38235290000000005,68.0,0.5985914999999999,142.0,0.7864270999999999,500.0,0.7630814,1376.0,0.8,,,,,2016-07-22 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,0.4779411,0.7482394,0.9830339,0.9538518,Thursday
108,SHOOTINGS (TREND),1.0,,1.5714286,,1.0,,1.173913,,,1.016129,1.3315217,0.9142216000000001,1.2561916000000002,2016-09-23 00:00:00,N,https://data.cityofboston.gov/Public-Safety/Crime-Incident-Reports/7cdf-6fgx,Historical,1.9303506000000001,1.2284049,1.9303506000000001,2.2043484,Thursday
109,STABBINGS (TREND),0.0,,1.0,,1.6451613,,2.0326087,,,1.6451613,1.8369564999999999,1.5481006000000002,1.4951811000000002,2016-09-23 00:00:00,N,https://data.cityofboston.gov/Public-Safety/Crime-Incident-Reports/7cdf-6fgx,Historical,,3.1932619,1.9410023,1.6393403999999998,Thursday
110,LIBRARY USERS,10934.0,,9488.6666667,,9346.0,,9363.0888889,,,8553.3793103,8575.3820225,1251.3731433,1177.5294945,2016-10-04 00:00:00,N,https://data.cityofboston.gov/City-Services/Boston-Public-Library-Daily-Active-User-Counts/mzws-sfys,Historical,1.4973967,1.2994602,1.2799222,1.2656496000000002,Monday
111,BFD INCIDENTS,219.0,,239.85714280000002,,238.7333333,,239.0652173,,,230.1333333,225.30434780000002,29.616786199999996,27.0842151,2016-10-05 00:00:00,N,https://data.cityofboston.gov/Public-Safety/Crime-Incident-Reports/7cdf-6fgx,Historical,1.1860736,1.0829368000000001,1.0880346,1.055731,Tuesday
112,SIGN INSTALLATION ON-TIME %,0.6666667,3.0,0.7045455,44.0,0.6455696,158.0,0.6752475,505.0,0.8,,,,,2016-09-27 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,0.8333334000000001,0.8806818999999999,0.806962,0.8440594000000001,Monday
113,SIGNAL REPAIR ON-TIME %,1.0,8.0,0.9655171999999999,58.0,0.9350181000000001,277.0,0.9166667,864.0,0.8,,,,,2016-09-27 00:00:00,N,https://data.cityofboston.gov/City-Services/311-Service-Requests/awu8-dc52,Target,1.25,1.2068965,1.1687726,1.1458334,Monday
