,Good,Bad
69,"[(42.365074, -71.119581000000011), (42.349046000000001, -71.096831000000009), (42.338622999999998, -71.074181999999993), (42.352260999999999, -71.12383100000001), (42.344763, -71.097880000000004), (42.356755, -71.055406999999988), (42.350850999999999, -71.089885999999993)]","[(42.361284999999995, -71.06514), (42.335910999999996, -71.088495999999992), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.352175000000003, -71.055547000000004), (42.341332000000001, -71.076847000000001), (42.343911999999996, -71.102221), (42.346171000000005, -71.099855000000005), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
70,"[(42.365074, -71.119581000000011), (42.349046000000001, -71.096831000000009), (42.338622999999998, -71.074181999999993), (42.352260999999999, -71.12383100000001), (42.344763, -71.097880000000004), (42.356755, -71.055406999999988), (42.350850999999999, -71.089885999999993)]","[(42.361284999999995, -71.06514), (42.335910999999996, -71.088495999999992), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.352175000000003, -71.055547000000004), (42.341332000000001, -71.076847000000001), (42.343911999999996, -71.102221), (42.346171000000005, -71.099855000000005), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
71,"[(42.365074, -71.119581000000011), (42.349046000000001, -71.096831000000009), (42.338622999999998, -71.074181999999993), (42.352260999999999, -71.12383100000001), (42.344763, -71.097880000000004), (42.356755, -71.055406999999988), (42.350850999999999, -71.089885999999993)]","[(42.361284999999995, -71.06514), (42.335910999999996, -71.088495999999992), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.352175000000003, -71.055547000000004), (42.341332000000001, -71.076847000000001), (42.343911999999996, -71.102221), (42.346171000000005, -71.099855000000005), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
72,"[(42.365074, -71.119581000000011), (42.349046000000001, -71.096831000000009), (42.338622999999998, -71.074181999999993), (42.352260999999999, -71.12383100000001), (42.344763, -71.097880000000004), (42.356755, -71.055406999999988), (42.350850999999999, -71.089885999999993)]","[(42.361284999999995, -71.06514), (42.350074999999997, -71.105884000000003), (42.335910999999996, -71.088495999999992), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.352175000000003, -71.055547000000004), (42.341332000000001, -71.076847000000001), (42.343911999999996, -71.102221), (42.346171000000005, -71.099855000000005), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
73,"[(42.365074, -71.119581000000011), (42.349046000000001, -71.096831000000009), (42.338622999999998, -71.074181999999993), (42.352260999999999, -71.12383100000001), (42.344763, -71.097880000000004), (42.356755, -71.055406999999988), (42.350850999999999, -71.089885999999993)]","[(42.361284999999995, -71.06514), (42.350074999999997, -71.105884000000003), (42.335910999999996, -71.088495999999992), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.352175000000003, -71.055547000000004), (42.341332000000001, -71.076847000000001), (42.343911999999996, -71.102221), (42.346171000000005, -71.099855000000005), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
74,"[(42.365074, -71.119581000000011), (42.349046000000001, -71.096831000000009), (42.338622999999998, -71.074181999999993), (42.352260999999999, -71.12383100000001), (42.344763, -71.097880000000004), (42.356755, -71.055406999999988), (42.350850999999999, -71.089885999999993)]","[(42.361284999999995, -71.06514), (42.350074999999997, -71.105884000000003), (42.335910999999996, -71.088495999999992), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.352175000000003, -71.055547000000004), (42.341332000000001, -71.076847000000001), (42.343911999999996, -71.102221), (42.346171000000005, -71.099855000000005), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
75,"[(42.365074, -71.119581000000011), (42.349046000000001, -71.096831000000009), (42.338622999999998, -71.074181999999993), (42.352260999999999, -71.12383100000001), (42.344763, -71.097880000000004), (42.356755, -71.055406999999988), (42.350850999999999, -71.089885999999993)]","[(42.361284999999995, -71.06514), (42.350074999999997, -71.105884000000003), (42.335910999999996, -71.088495999999992), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.352175000000003, -71.055547000000004), (42.341332000000001, -71.076847000000001), (42.343911999999996, -71.102221), (42.346171000000005, -71.099855000000005), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
76,"[(42.365074, -71.119581000000011), (42.349046000000001, -71.096831000000009), (42.338622999999998, -71.074181999999993), (42.352260999999999, -71.12383100000001), (42.344763, -71.097880000000004), (42.356755, -71.055406999999988), (42.350850999999999, -71.089885999999993)]","[(42.361284999999995, -71.06514), (42.350074999999997, -71.105884000000003), (42.335910999999996, -71.088495999999992), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.352175000000003, -71.055547000000004), (42.341332000000001, -71.076847000000001), (42.346171000000005, -71.099855000000005), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.334875599999997, -71.07909690000001), (42.328189799999997, -71.083354499999999)]"
77,"[(42.365074, -71.119581000000011), (42.349046000000001, -71.096831000000009), (42.338622999999998, -71.074181999999993), (42.352260999999999, -71.12383100000001), (42.344763, -71.097880000000004), (42.356755, -71.055406999999988), (42.350850999999999, -71.089885999999993)]","[(42.361284999999995, -71.06514), (42.350074999999997, -71.105884000000003), (42.335910999999996, -71.088495999999992), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.352175000000003, -71.055547000000004), (42.341332000000001, -71.076847000000001), (42.346171000000005, -71.099855000000005), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.334875599999997, -71.07909690000001)]"
78,"[(42.353411999999999, -71.044623999999999), (42.365074, -71.119581000000011), (42.349046000000001, -71.096831000000009), (42.338622999999998, -71.074181999999993), (42.352260999999999, -71.12383100000001), (42.344763, -71.097880000000004), (42.356755, -71.055406999999988), (42.350850999999999, -71.089885999999993)]","[(42.361284999999995, -71.06514), (42.335910999999996, -71.088495999999992), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.352175000000003, -71.055547000000004), (42.341332000000001, -71.076847000000001), (42.346171000000005, -71.099855000000005), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.334875599999997, -71.07909690000001)]"
79,"[(42.353411999999999, -71.044623999999999), (42.365074, -71.119581000000011), (42.349046000000001, -71.096831000000009), (42.338622999999998, -71.074181999999993), (42.352260999999999, -71.12383100000001), (42.344763, -71.097880000000004), (42.356755, -71.055406999999988), (42.350850999999999, -71.089885999999993)]","[(42.361284999999995, -71.06514), (42.335910999999996, -71.088495999999992), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.352175000000003, -71.055547000000004), (42.341332000000001, -71.076847000000001), (42.346171000000005, -71.099855000000005), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.334875599999997, -71.07909690000001)]"
80,"[(42.353411999999999, -71.044623999999999), (42.365074, -71.119581000000011), (42.349046000000001, -71.096831000000009), (42.338622999999998, -71.074181999999993), (42.352260999999999, -71.12383100000001), (42.344763, -71.097880000000004), (42.356755, -71.055406999999988), (42.350850999999999, -71.089885999999993)]","[(42.361284999999995, -71.06514), (42.335910999999996, -71.088495999999992), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.352175000000003, -71.055547000000004), (42.341332000000001, -71.076847000000001), (42.346171000000005, -71.099855000000005), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001)]"
81,"[(42.353411999999999, -71.044623999999999), (42.365074, -71.119581000000011), (42.349046000000001, -71.096831000000009), (42.338622999999998, -71.074181999999993), (42.352260999999999, -71.12383100000001), (42.344763, -71.097880000000004), (42.356755, -71.055406999999988), (42.350850999999999, -71.089885999999993)]","[(42.361284999999995, -71.06514), (42.335910999999996, -71.088495999999992), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.352175000000003, -71.055547000000004), (42.341332000000001, -71.076847000000001), (42.346171000000005, -71.099855000000005), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001)]"
82,"[(42.353411999999999, -71.044623999999999), (42.365074, -71.119581000000011), (42.349046000000001, -71.096831000000009), (42.338622999999998, -71.074181999999993), (42.352260999999999, -71.12383100000001), (42.344763, -71.097880000000004), (42.356755, -71.055406999999988)]","[(42.361284999999995, -71.06514), (42.335910999999996, -71.088495999999992), (42.337171000000005, -71.102796999999995), (42.361666999999997, -71.138019999999997), (42.352175000000003, -71.055547000000004), (42.341332000000001, -71.076847000000001), (42.346171000000005, -71.099855000000005), (42.349672999999996, -71.077303000000001), (42.357246999999994, -71.146451999999996), (42.351146, -71.066288999999998), (42.350988999999998, -71.073643999999987), (42.334875599999997, -71.07909690000001)]"
